,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2021-01-01-2021-03-02 報酬率:20.29%本金:1202900.0,每次換手最大報酬 : 20.29%,2021-01-05,1.0,6201,38.2,48.55,28.9,55.0,2021-01-05,2021-03-02,27.094240837696315
1,2021-03-02-2021-05-01 報酬率:19.97%本金:1443119.13,每次換手最小報酬 : -1.13%,2021-01-06,0.980016467519329,3015,42.65,47.9,23.75,56.2,2021-01-05,2021-03-02,12.309495896834699
2,2021-05-01-2021-06-30 報酬率:3.19%本金:1489154.630247,,2021-01-07,0.9897394310538382,3679,107.5,137.0,74.8,137.0,2021-01-05,2021-03-02,27.441860465116275
3,2021-06-30-2021-08-29 報酬率:2.91%本金:1532489.0299871874,,2021-01-08,0.9799750722072791,2441,55.4,72.8,52.8,76.1,2021-01-05,2021-03-02,31.40794223826715
4,2021-08-29-2021-10-28 報酬率:-1.13%本金:1515171.9039483322,,2021-01-11,1.0115447664139507,1589,84.4,80.8,67.4,84.4,2021-01-05,2021-03-02,-4.2654028436019065
5,,,2021-01-12,1.0157767186659752,3264,39.75,45.5,38.55,49.0,2021-01-05,2021-03-02,14.465408805031444
6,,,2021-01-13,1.038085832031398,5487,37.85,42.5,34.9,42.5,2021-01-05,2021-03-02,12.285336856010565
7,,,2021-01-14,1.0449220446033032,2401,18.05,25.55,16.3,27.2,2021-01-05,2021-03-02,41.551246537396125
8,,,2021-01-15,1.019408487787158,2204,49.7,71.7,49.05,72.4,2021-03-03,2021-04-29,44.26559356136821
9,,,2021-01-18,1.042527527396551,9905,23.2,28.15,23.2,28.8,2021-03-03,2021-04-29,21.33620689655171
10,,,2021-01-19,1.0696117770780762,3501,56.5,54.6,52.2,57.3,2021-03-03,2021-04-29,-3.362831858407078
11,,,2021-01-20,1.0437992032497516,4706,17.0,20.0,17.0,20.95,2021-03-03,2021-04-29,17.647058823529417
12,,,2021-01-21,1.0517407363388112,3015,47.55,53.8,45.75,55.8,2021-03-03,2021-04-29,13.144058885383814
13,,,2021-01-22,1.063193411647729,1709,14.6,18.95,14.5,19.1,2021-03-03,2021-04-29,29.794520547945204
14,,,2021-01-25,0.8363125066129892,9907,11.25,15.4,11.1,15.9,2021-03-03,2021-04-29,36.888888888888886
15,,,2021-01-26,1.0753094075139555,4767,23.0,26.65,22.9,26.8,2021-03-03,2021-04-29,15.86956521739129
