,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.07% 本金:999307.644,每次換手最大報酬 : 36.69%,2015-01-05,1.0,0.0,2475,0.792707166914971,1.42,1.44,1.4,1.44,2015-01-05,2015-01-09,1.4084507042253502
1,2015-01-11-2015-02-11 報酬率:1.34% 本金:1012202.3300000001,每次換手最小報酬 : -23.06%,2015-01-06,0.983665280908407,-1.6334719091593008,6289,1.3367974493397832,2.2,2.18,2.16,2.23,2015-01-05,2015-01-09,-0.909090909090915
2,2015-02-11-2015-03-11 報酬率:1.98% 本金:1031342.0000000001,,2015-01-07,0.9979033374495572,-0.20966625504428293,2323,1.9710523550183825,4.56,4.48,4.47,4.56,2015-01-05,2015-01-09,-1.754385964912264
3,2015-03-11-2015-04-01 報酬率:-2.16% 本金:1010160.6080000001,,2015-01-08,1.004525779988213,0.0,1449,1.992955521967291,3.86,3.8,3.8,3.86,2015-01-05,2015-01-08,-1.5544041450777257
4,2015-04-01-2015-04-11 報酬率:3.03% 本金:1040365.1630000002,,2015-01-12,0.9993451918028724,-0.5157247617280092,6167,2.0114448477504436,3.0,3.01,3.0,3.08,2015-01-05,2015-01-09,0.3333333333333188
5,2015-04-11-2015-05-16 報酬率:-2.02% 本金:1019809.2390000002,,2015-01-13,0.9958339210431408,-0.8652698734296416,2349,2.0693414254851774,4.07,3.92,3.92,4.07,2015-01-05,2015-01-09,-3.6855036855036993
6,2015-05-16-2015-06-11 報酬率:-5.78% 本金:962420.1970000002,,2015-01-14,0.9845403155725707,-1.9895422112389038,5381,2.7028694086915888,3.94,4.1,3.88,4.29,2015-01-05,2015-01-09,4.060913705583746
7,2015-06-11-2015-07-11 報酬率:-6.34% 本金:902918.0290000001,,2015-01-15,0.9797769717691396,-2.4637305196252735,5304,2.7082368249580706,3.58,3.62,3.34,3.62,2015-01-05,2015-01-09,1.1173184357541999
8,2015-07-11-2015-08-15 報酬率:-17.33% 本金:751866.283,,2015-01-16,0.9720238444171024,-3.2355501689057653,1613,2.9291779703600533,5.46,5.5,5.36,5.5,2015-01-05,2015-01-09,0.73260073260073
9,2015-08-15-2015-09-11 報酬率:3.34% 本金:776555.5630000001,,2015-01-19,0.9907101671216282,-1.3753368148249012,5701,2.952580118337357,4.95,4.93,4.87,4.95,2015-01-05,2015-01-09,-0.40404040404041774
10,2015-09-11-2015-10-11 報酬率:8.36% 本金:840259.599,,2015-01-20,0.9934413520334129,-1.1034488288523714,2475,0.863136726168286,1.44,1.49,1.38,1.66,2015-01-12,2015-02-11,3.472222222222232
11,2015-10-11-2015-11-15 報酬率:2.62% 本金:861971.8010000001,,2015-01-21,0.9965926616646646,-0.789737653486744,6289,1.3491465519001011,2.07,2.0,1.95,2.26,2015-01-12,2015-02-11,-3.3816425120772875
12,2015-11-15-2015-12-11 報酬率:-6.76% 本金:804826.8170000002,,2015-01-22,1.0221150698299797,0.0,2323,1.9710523550183825,4.46,4.33,4.31,4.51,2015-01-12,2015-02-11,-2.914798206278024
13,2015-12-11-2016-01-11 報酬率:-0.3% 本金:802444.2770000001,,2015-01-23,1.0357142863552935,0.0,6167,2.0799730032304367,3.09,3.49,3.03,3.9,2015-01-12,2015-02-11,12.944983818770229
14,2016-01-11-2016-02-11 報酬率:-1.3% 本金:792141.3870000001,,2015-01-26,1.0662917232235445,0.0,2349,2.1905558711069384,3.85,3.6,3.53,3.85,2015-01-12,2015-02-11,-6.493506493506496
