,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.07% 本金:999307.644,每次換手最大報酬 : 36.69%,2015-01-05,1.0,2475,1.42,1.44,1.4,1.44,2015-01-05,2015-01-09,1.4084507042253502
1,2015-01-11-2015-02-11 報酬率:1.34% 本金:1012202.3300000001,每次換手最小報酬 : -23.06%,2015-01-06,0.983665280908407,6289,2.2,2.18,2.16,2.23,2015-01-05,2015-01-09,-0.909090909090915
2,2015-02-11-2015-03-11 報酬率:1.98% 本金:1031342.0000000001,,2015-01-07,0.9979033374495572,2323,4.56,4.48,4.47,4.56,2015-01-05,2015-01-09,-1.754385964912264
3,2015-03-11-2015-04-01 報酬率:-2.16% 本金:1010160.6080000001,,2015-01-08,1.004525779988213,1449,3.86,3.8,3.8,3.86,2015-01-05,2015-01-08,-1.5544041450777257
4,2015-04-01-2015-04-11 報酬率:3.03% 本金:1040365.1630000002,,2015-01-09,0.9993451918028724,6167,3.0,3.01,3.0,3.08,2015-01-05,2015-01-09,0.3333333333333188
5,2015-04-11-2015-05-16 報酬率:-2.02% 本金:1019809.2390000002,,2015-01-12,0.9993451918028724,2349,4.07,3.92,3.92,4.07,2015-01-05,2015-01-09,-3.6855036855036993
6,2015-05-16-2015-06-11 報酬率:-5.78% 本金:962420.1970000002,,2015-01-13,0.9958339210431408,5381,3.94,4.1,3.88,4.29,2015-01-05,2015-01-09,4.060913705583746
7,2015-06-11-2015-07-11 報酬率:-6.34% 本金:902918.0290000001,,2015-01-14,0.9845403155725707,5304,3.58,3.62,3.34,3.62,2015-01-05,2015-01-09,1.1173184357541999
8,2015-07-11-2015-08-15 報酬率:-17.33% 本金:751866.283,,2015-01-15,0.9797769717691396,1613,5.46,5.5,5.36,5.5,2015-01-05,2015-01-09,0.73260073260073
9,2015-08-15-2015-09-11 報酬率:3.34% 本金:776555.5630000001,,2015-01-16,0.9720238444171024,5701,4.95,4.93,4.87,4.95,2015-01-05,2015-01-09,-0.40404040404041774
10,2015-09-11-2015-10-11 報酬率:8.36% 本金:840259.599,,2015-01-19,0.9907101671216282,2475,1.44,1.49,1.38,1.66,2015-01-12,2015-02-11,3.472222222222232
11,2015-10-11-2015-11-15 報酬率:2.62% 本金:861971.8010000001,,2015-01-20,0.9934413520334129,6289,2.07,2.0,1.95,2.26,2015-01-12,2015-02-11,-3.3816425120772875
12,2015-11-15-2015-12-11 報酬率:-6.76% 本金:804826.8170000002,,2015-01-21,0.9965926616646646,2323,4.46,4.33,4.31,4.51,2015-01-12,2015-02-11,-2.914798206278024
13,2015-12-11-2016-01-11 報酬率:-0.3% 本金:802444.2770000001,,2015-01-22,1.0221150698299797,6167,3.09,3.49,3.03,3.9,2015-01-12,2015-02-11,12.944983818770229
14,2016-01-11-2016-02-11 報酬率:-1.3% 本金:792141.3870000001,,2015-01-23,1.0357142863552935,2349,3.85,3.6,3.53,3.85,2015-01-12,2015-02-11,-6.493506493506496
15,2016-02-11-2016-03-11 報酬率:11.54% 本金:882493.817,,2015-01-26,1.0662917232235445,4530,4.56,4.13,3.96,4.56,2015-01-12,2015-02-11,-9.4298245614035
16,2016-03-11-2016-04-01 報酬率:-2.06% 本金:864552.8650000001,,2015-01-27,1.0904374752196666,5701,4.87,4.87,4.74,4.9,2015-01-12,2015-02-11,0.0
17,2016-04-01-2016-04-11 報酬率:3.81% 本金:897105.5050000001,,2015-01-28,1.0715381589393136,4157,37.15,35.3,35.0,38.5,2015-01-12,2015-02-11,-4.979811574697179
18,2016-04-11-2016-05-16 報酬率:-10.53% 本金:804146.6650000002,,2015-01-29,1.088646021013859,1613,5.33,5.32,5.3,5.84,2015-01-12,2015-02-11,-0.18761726078798668
19,2016-05-16-2016-06-11 報酬率:8.46% 本金:871138.0210000002,,2015-01-30,1.0701836587282612,5304,3.45,4.29,3.45,5.22,2015-01-12,2015-02-11,24.347826086956516
20,2016-06-11-2016-07-11 報酬率:9.3% 本金:950752.5310000002,,2015-02-02,1.044773986115595,2475,1.49,1.44,1.43,1.5,2015-02-11,2015-03-11,-3.3557046979865834
21,2016-07-11-2016-08-15 報酬率:6.92% 本金:1015689.8110000001,,2015-02-03,1.0248709769075883,6289,2.0,2.07,1.89,2.07,2015-02-11,2015-03-11,3.499999999999992
22,2016-08-15-2016-09-11 報酬率:7.68% 本金:1092818.5150000001,,2015-02-04,1.0170211892365397,2323,4.33,4.28,4.28,4.36,2015-02-11,2015-03-11,-1.1547344110854452
23,2016-09-11-2016-10-11 報酬率:29.47% 本金:1404163.171,,2015-02-05,1.008376095322817,2349,3.6,3.54,3.53,3.73,2015-02-11,2015-03-11,-1.6666666666666718
24,2016-10-11-2016-11-15 報酬率:1.69% 本金:1427238.0929999999,,2015-02-06,1.003894888235808,1449,3.91,3.96,3.69,4.11,2015-02-11,2015-03-11,1.2787723785166127
25,2016-11-15-2016-12-11 報酬率:4.5% 本金:1490848.2929999998,,2015-02-09,0.9991190286772839,6167,3.49,3.86,3.49,3.95,2015-02-11,2015-03-11,10.601719197707716
26,2016-12-11-2017-01-11 報酬率:1.48% 本金:1512697.6809999996,,2015-02-10,1.0032264674339877,4530,4.13,4.13,4.13,5.35,2015-02-11,2015-03-11,0.0
27,2017-01-11-2017-02-11 報酬率:20.87% 本金:1826799.5289999994,,2015-02-11,1.0127142634083324,2364,3.08,3.45,2.98,3.47,2015-02-11,2015-03-11,12.012987012987008
28,2017-02-11-2017-03-11 報酬率:-1.22% 本金:1804837.0889999995,,2015-02-11,1.0127142634083324,4157,35.3,35.8,35.3,36.45,2015-02-11,2015-03-11,1.4164305949008416
29,2017-03-11-2017-04-01 報酬率:6.54% 本金:1920648.7169999992,,2015-02-12,1.009886122009564,5701,4.87,4.73,4.7,4.87,2015-02-11,2015-03-11,-2.8747433264887046
30,2017-04-01-2017-04-11 報酬率:0.21% 本金:1924627.7969999993,,2015-02-13,1.0232465979818488,2475,1.44,1.46,1.43,1.54,2015-03-11,2015-04-01,1.388888888888884
31,2017-04-11-2017-05-16 報酬率:-3.63% 本金:1856009.9069999994,,2015-02-24,1.0380524287795108,6289,2.07,1.96,1.94,2.19,2015-03-11,2015-04-01,-5.314009661835739
32,2017-05-16-2017-06-11 報酬率:3.49% 本金:1919676.9299999992,,2015-02-25,1.0359193902228152,2323,4.28,4.15,4.15,4.3,2015-03-11,2015-04-01,-3.0373831775700855
