,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:0.81% 本金:1007438.473,每次換手最大報酬 : 29.26%,2015-01-06,1.0,1514,9.05,9.35,8.95,9.35,2015-01-06,2015-01-09,3.3149171270718147
1,2015-01-11-2015-02-11 報酬率:-3.7% 本金:974177.323,每次換手最小報酬 : -16.18%,2015-01-07,1.0025704927950092,2387,21.95,22.4,21.95,22.95,2015-01-06,2015-01-09,2.0501138952163878
2,2015-02-11-2015-03-11 報酬率:4.56% 本金:1011916.795,,2015-01-08,0.9997772205645535,1416,17.6,18.1,17.55,18.1,2015-01-06,2015-01-09,2.840909090909083
3,2015-03-11-2015-04-01 報酬率:3.57% 本金:1042128.2770000001,,2015-01-09,1.0080776313250275,2442,9.3,9.15,9.11,9.3,2015-01-06,2015-01-09,-1.6129032258064502
4,2015-04-01-2015-04-11 報酬率:0.61% 本金:1047099.4720000001,,2015-01-13,1.0080776313250275,2543,11.55,11.5,11.5,11.6,2015-01-06,2015-01-09,-0.43290043290044045
5,2015-04-11-2015-05-16 報酬率:5.67% 本金:1095490.087,,2015-01-14,1.0077982284464992,2499,32.25,32.05,32.05,32.25,2015-01-06,2015-01-09,-0.6201550387596955
6,2015-05-16-2015-06-11 報酬率:4.52% 本金:1137205.167,,2015-01-15,0.9997490322438324,3048,27.9,28.0,27.9,28.0,2015-01-06,2015-01-09,0.35842293906811484
7,2015-06-11-2015-07-11 報酬率:-5.16% 本金:1081570.0469999998,,2015-01-16,0.9872590572254591,8112,16.75,16.6,16.6,16.8,2015-01-06,2015-01-09,-0.8955223880596885
8,2015-07-11-2015-08-15 報酬率:-9.66% 本金:988800.2369999997,,2015-01-19,0.985263384934853,2515,7.88,7.89,7.85,7.9,2015-01-06,2015-01-09,0.12690355329949554
9,2015-08-15-2015-09-11 報酬率:0.68% 本金:994974.6369999996,,2015-01-20,0.9948193033384126,3032,22.05,22.7,22.05,22.7,2015-01-06,2015-01-09,2.947845804988658
10,2015-09-11-2015-10-11 報酬率:4.09% 本金:1028209.9769999996,,2015-01-21,0.9996058968677846,1808,29.35,27.85,27.4,29.4,2015-01-13,2015-02-11,-5.110732538330498
11,2015-10-11-2015-11-15 報酬率:7.97% 本金:1097501.1569999997,,2015-01-22,1.0024404046324238,2495,18.2,17.15,17.15,18.7,2015-01-13,2015-02-11,-5.769230769230771
12,2015-11-15-2015-12-11 報酬率:-5.04% 本金:1047978.1169999996,,2015-01-23,1.0045749582660344,1514,9.65,8.9,8.9,9.65,2015-01-13,2015-02-11,-7.772020725388595
13,2015-12-11-2016-01-11 報酬率:-3.32% 本金:1016476.2969999997,,2015-01-26,0.9993774677460135,2387,22.1,19.7,19.7,22.1,2015-01-13,2015-02-11,-10.859728506787336
14,2016-01-11-2016-02-11 報酬率:4.7% 本金:1059906.6469999996,,2015-01-27,0.9974379139037234,2208,16.6,16.2,16.2,16.75,2015-01-13,2015-02-11,-2.4096385542168752
15,2016-02-11-2016-03-11 報酬率:15.83% 本金:1211629.2819999997,,2015-01-28,0.9906857108094831,1416,18.15,17.85,17.7,18.3,2015-01-13,2015-02-11,-1.6528925619834545
16,2016-03-11-2016-04-01 報酬率:-6.46% 本金:1138785.6759999997,,2015-01-29,0.9870831071917433,2543,11.5,11.1,10.7,11.5,2015-01-13,2015-02-11,-3.4782608695652195
17,2016-04-01-2016-04-11 報酬率:0.96% 本金:1148547.9159999997,,2015-01-30,0.9856275495191943,2923,27.65,27.8,26.1,28.05,2015-01-13,2015-02-11,0.5424954792043524
18,2016-04-11-2016-05-16 報酬率:-3.53% 本金:1114294.5609999998,,2015-02-02,0.9797557138083639,3048,28.15,27.0,26.85,28.6,2015-01-13,2015-02-11,-4.085257548845467
19,2016-05-16-2016-06-11 報酬率:5.79% 本金:1168347.1059999997,,2015-02-03,0.9847853545317052,4935,43.45,45.0,43.3,46.85,2015-01-13,2015-02-11,3.5673187571921616
20,2016-06-11-2016-07-11 報酬率:2.94% 本金:1198515.9159999997,,2015-02-04,0.9840840344329458,3048,26.95,28.5,26.95,29.45,2015-02-12,2015-03-11,5.75139146567718
