,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:1.66% 本金:1014826.788,每次換手最大報酬 : 38.37%,2015-01-06,1.0,2329,13.2,13.4,13.2,13.7,2015-01-06,2015-01-09,1.5151515151515138
1,2015-01-11-2015-02-11 報酬率:7.63% 本金:1083438.7999999998,每次換手最小報酬 : -11.81%,2015-01-07,1.0044330444204872,1514,9.05,9.35,8.95,9.35,2015-01-06,2015-01-09,3.3149171270718147
2,2015-02-11-2015-03-11 報酬率:2.17% 本金:1104516.6609999998,,2015-01-08,1.0115351666309054,2438,10.25,10.45,10.2,10.45,2015-01-06,2015-01-09,1.9512195121951237
3,2015-03-11-2015-04-01 報酬率:4.8% 本金:1148788.981,,2015-01-09,1.0166441860068898,8112,16.75,16.6,16.6,16.8,2015-01-06,2015-01-09,-0.8955223880596885
4,2015-04-01-2015-04-11 報酬率:0.14% 本金:1150093.151,,2015-01-13,1.0166441860068898,3051,6.8,7.48,6.8,7.48,2015-01-06,2015-01-09,10.000000000000009
5,2015-04-11-2015-05-16 報酬率:2.57% 本金:1176014.171,,2015-01-14,1.0354214959116996,2499,32.25,32.05,32.05,32.25,2015-01-06,2015-01-09,-0.6201550387596955
6,2015-05-16-2015-06-11 報酬率:-5.86% 本金:1115858.341,,2015-01-15,1.0425985170518113,2543,11.55,11.5,11.5,11.6,2015-01-06,2015-01-09,-0.43290043290044045
7,2015-06-11-2015-07-11 報酬率:-4.61% 本金:1072051.816,,2015-01-16,1.0369856511305722,3607,56.9,58.6,56.9,58.6,2015-01-06,2015-01-09,2.987697715289994
8,2015-07-11-2015-08-15 報酬率:-10.42% 本金:973390.0460000001,,2015-01-19,1.0359425132643907,2442,9.3,9.15,9.11,9.3,2015-01-06,2015-01-09,-1.6129032258064502
9,2015-08-15-2015-09-11 報酬率:1.66% 本金:986094.856,,2015-01-20,1.0472012864208333,1540,22.9,23.0,22.8,23.1,2015-01-06,2015-01-09,0.4366812227074357
10,2015-09-11-2015-10-11 報酬率:-1.15% 本金:977120.8310000001,,2015-01-21,1.0644195592024344,2329,13.8,13.7,13.65,14.05,2015-01-13,2015-02-11,-0.7246376811594346
11,2015-10-11-2015-11-15 報酬率:4.09% 本金:1013607.721,,2015-01-22,1.0734257744908093,1514,9.65,8.9,8.9,9.65,2015-01-13,2015-02-11,-7.772020725388595
12,2015-11-15-2015-12-11 報酬率:-3.89% 本金:978070.6259999999,,2015-01-23,1.0919314655874717,2438,10.2,11.55,9.78,12.1,2015-01-13,2015-02-11,13.23529411764708
13,2015-12-11-2016-01-11 報酬率:-2.69% 本金:954373.0709999999,,2015-01-26,1.09649808933454,3051,8.17,13.95,8.17,16.05,2015-01-13,2015-02-11,70.74663402692778
14,2016-01-11-2016-02-11 報酬率:5.28% 本金:998235.6149999999,,2015-01-27,1.1045528739464958,2905,20.7,20.2,20.05,20.75,2015-01-13,2015-02-11,-2.4154589371980673
