,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:1.71% 本金:1015273.3779999999,每次換手最大報酬 : 47.88%,2015-01-05,1.0,0.0,2329,0.0027138540622439495,13.4,13.4,13.2,13.7,2015-01-05,2015-01-09,0.0
1,2015-01-11-2015-02-11 報酬率:9.14% 本金:1097463.9139999999,每次換手最小報酬 : -11.89%,2015-01-06,0.999939199417855,-0.006080058214497086,1514,0.0065729278074866315,9.1,9.35,8.95,9.35,2015-01-05,2015-01-09,2.7472527472527375
2,2015-02-11-2015-03-11 報酬率:2.51% 本金:1121844.2969999998,,2015-01-07,1.0044621806496372,0.0,2438,0.00840754716981132,10.2,10.45,10.2,10.45,2015-01-05,2015-01-09,2.450980392156854
3,2015-03-11-2015-04-01 報酬率:5.08% 本金:1168699.1689999998,,2015-01-08,1.0119413782671778,0.0,8112,0.011104182503947138,17.05,16.6,16.6,17.05,2015-01-05,2015-01-09,-2.639296187683282
4,2015-04-01-2015-04-11 報酬率:0.58% 本金:1174163.059,,2015-01-12,1.0171049381959658,0.0,3051,0.026690693273253945,6.42,7.48,6.42,7.48,2015-01-05,2015-01-09,16.51090342679129
5,2015-04-11-2015-05-16 報酬率:3.07% 本金:1206809.4389999998,,2015-01-13,1.027340869529586,0.0,2499,0.02842197197788543,33.15,32.05,32.05,33.15,2015-01-05,2015-01-09,-3.318250377073906
6,2015-05-16-2015-06-11 報酬率:-5.03% 本金:1155173.974,,2015-01-14,1.0467597678856555,0.0,2543,0.04096548587570621,11.55,11.5,11.5,11.6,2015-01-05,2015-01-09,-0.43290043290044045
7,2015-06-11-2015-07-11 報酬率:-3.83% 本金:1113896.149,,2015-01-15,1.0546228332710907,0.0,3607,0.044914835363845905,57.4,58.6,56.9,58.6,2015-01-05,2015-01-09,2.0905923344947785
8,2015-07-11-2015-08-15 報酬率:-10.25% 本金:1011401.274,,2015-01-16,1.0495236395359604,-0.4835087553826556,2442,0.06325563721396359,9.08,9.15,9.08,9.3,2015-01-05,2015-01-09,0.7709251101321701
9,2015-08-15-2015-09-11 報酬率:0.64% 本金:1016671.034,,2015-01-19,1.0488183277278447,-0.5503868643961018,1540,0.07510249020288705,23.25,23.0,22.8,23.25,2015-01-05,2015-01-09,-1.0752688172043001
10,2015-09-11-2015-10-11 報酬率:-0.1% 本金:1015878.2339999999,,2015-01-20,1.0607409405502985,0.0,2329,0.0027344053684147883,14.0,13.7,13.65,14.05,2015-01-12,2015-02-11,-2.1428571428571463
11,2015-10-11-2015-11-15 報酬率:5.45% 本金:1065244.3339999998,,2015-01-21,1.0786639679160943,0.0,1514,0.006709558823529412,9.72,8.9,8.9,9.72,2015-01-12,2015-02-11,-8.436213991769549
12,2015-11-15-2015-12-11 報酬率:-3.2% 本金:1035013.9339999998,,2015-01-22,1.0882470344600523,0.0,2438,0.008573584905660377,10.4,11.55,9.78,12.1,2015-01-12,2015-02-11,11.057692307692314
13,2015-12-11-2016-01-11 報酬率:-2.43% 本金:1012225.6369999998,,2015-01-23,1.1074107000163056,0.0,3051,0.0332677695526231,7.64,13.95,7.64,16.05,2015-01-12,2015-02-11,82.59162303664922
14,2016-01-11-2016-02-11 報酬率:4.07% 本金:1050074.1949999998,,2015-01-26,1.112680146078824,0.0,2905,0.0406338657427909,20.1,20.2,20.05,20.75,2015-01-12,2015-02-11,0.4975124378109319
15,2016-02-11-2016-03-11 報酬率:15.91% 本金:1201537.3949999998,,2015-01-27,1.121236829390154,0.0,2543,0.04096548587570621,11.5,11.1,10.7,11.5,2015-01-12,2015-02-11,-3.4782608695652195
16,2016-03-11-2016-04-01 報酬率:-4.34% 本金:1151317.9529999997,,2015-01-28,1.1027997608912006,-1.6443509538463408,3607,0.046264208100098785,58.6,66.9,58.6,68.5,2015-01-12,2015-02-11,14.163822525597269
17,2016-04-01-2016-04-11 報酬率:-2.25% 本金:1129166.2529999998,,2015-01-29,1.1063224654059707,-1.3301707180181865,2495,0.04958921235934989,18.3,17.15,17.15,18.7,2015-01-12,2015-02-11,-6.284153005464487
18,2016-04-11-2016-05-16 報酬率:-2.03% 本金:1109400.1429999997,,2015-01-30,1.1080492889812614,-1.176160117400471,2923,0.05279025869560565,27.0,27.8,26.1,28.05,2015-01-12,2015-02-11,2.9629629629629672
