,Change Record,Extra Change,Date,Net Worth,stock_id,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:-0.77% 本金:993562.7999999999,每次換手最大報酬 : 47.32%,2015-01-05,1.0,2329,13.4,13.4,13.2,13.7,2015-01-05,2015-01-09,0.0
1,2015-01-11-2015-02-11 報酬率:7.28% 本金:1058568.832,每次換手最小報酬 : -17.52%,2015-01-06,0.98018130334934,8112,17.05,16.6,16.6,17.05,2015-01-05,2015-01-09,-2.639296187683282
2,2015-02-11-2015-03-11 報酬率:2.44% 本金:1080604.472,,2015-01-07,0.9846520715159045,2499,33.15,32.05,32.05,33.15,2015-01-05,2015-01-09,-3.318250377073906
3,2015-03-11-2015-04-01 報酬率:3.14% 本金:1113566.9360000002,,2015-01-08,0.9899309039961954,3607,57.4,58.6,56.9,58.6,2015-01-05,2015-01-09,2.0905923344947785
4,2015-04-01-2015-04-11 報酬率:0.51% 本金:1118413.2110000004,,2015-01-09,0.9923173871768137,3048,28.45,28.0,27.9,28.45,2015-01-05,2015-01-09,-1.5817223198594021
5,2015-04-11-2015-05-16 報酬率:2.17% 本金:1137947.5510000004,,2015-01-12,0.9923173871768137,1460,15.7,15.35,15.0,15.7,2015-01-05,2015-01-09,-2.2292993630573243
6,2015-05-16-2015-06-11 報酬率:-6.23% 本金:1071903.3210000005,,2015-01-13,0.9977147911930772,2515,7.91,7.89,7.85,7.91,2015-01-05,2015-01-09,-0.25284450063212116
7,2015-06-11-2015-07-11 報酬率:-4.38% 本金:1030937.1810000006,,2015-01-14,1.0102618460665498,3006,51.5,50.8,50.3,51.5,2015-01-05,2015-01-09,-1.3592233009708798
8,2015-07-11-2015-08-15 報酬率:-12.68% 本金:913837.3810000005,,2015-01-15,1.0162025928654432,2354,85.8,86.9,83.5,86.9,2015-01-05,2015-01-09,1.2820512820512997
9,2015-08-15-2015-09-11 報酬率:1.59% 本金:925330.6960000006,,2015-01-16,1.0159288677730531,2201,46.1,46.25,45.2,46.4,2015-01-05,2015-01-09,0.32537960954446277
