,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2015-01-01-2015-01-11 報酬率:-0.01% 本金:999916.495,每次換手最大報酬 : 15.61%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703,1.9889502762430906,0.0,0.0
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1007217.425,每次換手最小報酬 : -15.95%,2015-01-06,0.9940871748830823,-0.5912825116917708,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725,0.6211180124223544,0.0,1.8633540372670927
2,2015-02-11-2015-03-11 報酬率:5.97% 本金:1054526.69,,2015-01-07,1.0049781813298762,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0,1.1006289308176145,0.0,0.0
3,2015-03-11-2015-04-01 報酬率:4.03% 本金:1087820.535,,2015-01-08,1.003794919840456,-0.11774001778369625,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396,3.5573122529644357,0.395256916996039,0.395256916996039
4,2015-04-01-2015-04-11 報酬率:1.87% 本金:1104543.0099999998,,2015-01-12,0.9999422663493206,-0.5010969465915727,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365,1.656626506024109,0.0,0.0
5,2015-04-11-2015-05-16 報酬率:-0.7% 本金:1097893.0099999998,,2015-01-13,0.9989377783266695,-0.6010481735248652,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828,0.0,0.0,8.76777251184833
6,2015-05-16-2015-06-11 報酬率:2.57% 本金:1122585.8269999998,,2015-01-14,1.0037397560220502,-0.1232290741065789,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663,2.819548872180451,0.0,0.0
7,2015-06-11-2015-07-11 報酬率:-0.08% 本金:1121767.7869999998,,2015-01-15,1.0036752607570831,-0.1296466527331841,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751,1.6431924882629174,0.0,1.4084507042253553
8,2015-07-11-2015-08-15 報酬率:-5.06% 本金:1071474.9289999998,,2015-01-16,0.9932691013411332,-1.1651078805759219,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438,2.110817941952499,0.2638522427440671,0.2638522427440671
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1102541.4489999996,,2015-01-19,0.9849965350292942,-1.9882666780029479,8905,79.0,23.0,23.25,23.0,23.25,2015-01-05,2015-01-09,1.0869565217391353,0.0,0.4347826086956583,1.0869565217391304
10,2015-09-11-2015-10-11 報酬率:3.86% 本金:1140326.6029999997,,2015-01-20,0.9968496321098528,-0.8088284274258561,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562,6.903765690376564,0.41841004184101016,0.41841004184101016
11,2015-10-11-2015-11-15 報酬率:9.96% 本金:1244900.6269999996,,2015-01-21,0.999912953274778,-0.5040137337504524,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003,2.239999999999998,0.47999999999999543,3.5200000000000045
12,2015-11-15-2015-12-11 報酬率:0.66% 本金:1252175.4769999995,,2015-01-22,1.0227098180743142,0.0,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984,0.1226993865030605,0.736196319018398,7.239263803680989
