,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2015-01-01-2015-01-11 報酬率:0.07% 本金:1000567.245,每次換手最大報酬 : 15.06%,2015-01-05,1.0,0.0,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725,0.6211180124223544,0.0,0.0
1,2015-01-11-2015-02-11 報酬率:1.05% 本金:1009257.0449999999,每次換手最小報酬 : -13.9%,2015-01-06,0.9906952605952022,-0.9304739404797813,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396,3.5573122529644357,0.0,0.0
2,2015-02-11-2015-03-11 報酬率:7.29% 本金:1066075.305,,2015-01-07,1.0067377717536332,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0,1.1006289308176145,0.0,0.0
3,2015-03-11-2015-04-01 報酬率:2.64% 本金:1088445.345,,2015-01-08,1.0042609201435841,-0.24602748397277718,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438,2.110817941952499,0.2638522427440671,0.2638522427440671
4,2015-04-01-2015-04-11 報酬率:1.69% 本金:1103372.27,,2015-01-12,1.000740839402738,-0.5956796813582632,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663,2.819548872180451,0.0,0.0
5,2015-04-11-2015-05-16 報酬率:-0.52% 本金:1098461.13,,2015-01-13,0.9975902684024974,-0.9086282056549599,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751,1.6431924882629174,0.0,0.0
6,2015-05-16-2015-06-11 報酬率:1.71% 本金:1114262.727,,2015-01-14,1.0013754045769734,-0.5326478579738891,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365,1.656626506024109,0.0,0.0
7,2015-06-11-2015-07-11 報酬率:0.27% 本金:1116895.767,,2015-01-15,1.006041447206567,-0.06916642710774745,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828,0.0,4.028436018957335,4.028436018957335
8,2015-07-11-2015-08-15 報酬率:-7.22% 本金:1046596.071,,2015-01-16,0.9954392095533803,-1.122294456139461,3264,79.0,26.75,27.2,26.25,27.2,2015-01-05,2015-01-09,1.6822429906542036,1.8691588785046727,0.0,0.0
9,2015-08-15-2015-09-11 報酬率:2.53% 本金:1070588.0610000002,,2015-01-19,0.9858503014489189,-2.074767719138071,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665,3.076923076923084,0.0,0.0
10,2015-09-11-2015-10-11 報酬率:5.07% 本金:1118824.0410000002,,2015-01-20,1.0039145703199561,-0.2804306655505129,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562,6.903765690376564,0.0,0.0
11,2015-10-11-2015-11-15 報酬率:10.63% 本金:1221835.1190000002,,2015-01-21,1.013244160392772,0.0,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003,2.239999999999998,0.47999999999999543,0.47999999999999543
12,2015-11-15-2015-12-11 報酬率:1.06% 本金:1233382.441,,2015-01-22,1.0353726592204915,0.0,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326,1.2542759407069652,0.0,0.0
13,2015-12-11-2016-01-11 報酬率:-2.9% 本金:1200386.2410000002,,2015-01-23,1.0280566154876327,-0.7066097088527346,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984,0.1226993865030605,0.736196319018398,0.736196319018398
14,2016-01-11-2016-02-11 報酬率:5.24% 本金:1252574.0210000002,,2015-01-26,1.0277795504075462,-0.733369646699189,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457,1.3803680981595179,0.0,0.0
