,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2021-09-01-2021-09-11 報酬率:-3.71% 本金:77055283.96,每次換手最大報酬 : 12.95%,2021-09-01,1.0,0.0,2408,88.0,68.1,66.8,64.3,68.1,2021-09-01,2021-09-10,-1.9089574155653377,5.58002936857562,0.0,0.0
1,2021-09-11-2021-10-11 報酬率:-10.05% 本金:69378571.35999998,每次換手最小報酬 : -17.54%,2021-09-02,0.97247887814746,-2.7521121852539965,6147,87.0,80.4,74.5,73.3,81.1,2021-09-01,2021-09-10,-7.338308457711451,8.830845771144288,0.87064676616914,0.87064676616914
2,2021-10-11-2021-11-15 報酬率:12.95% 本金:78282602.85999998,,2021-09-03,0.9882638419017701,-1.173615809822992,6261,86.0,89.0,83.5,82.6,89.5,2021-09-01,2021-09-10,-6.17977528089888,7.191011235955062,0.5617977528089888,0.5617977528089888
3,2021-11-15-2021-12-11 報酬率:3.35% 本金:80892185.85999998,,2021-09-06,0.956500613996389,-4.349938600361103,2344,85.0,30.55,30.1,28.85,30.85,2021-09-01,2021-09-10,-1.4729950900163602,5.564648117839605,0.98199672667758,0.98199672667758
4,2021-12-11-2022-01-11 報酬率:1.38% 本金:82003361.85999998,,2021-09-07,0.951663248999215,-4.833675100078505,1308,84.0,37.0,37.6,35.05,37.6,2021-09-01,2021-09-10,1.6216216216216273,5.270270270270278,0.0,1.6216216216216255
5,2022-01-11-2022-02-11 報酬率:2.13% 本金:83740907.22999999,,2021-09-08,0.9290835270224452,-7.091647297755477,6239,83.0,112.0,112.0,108.0,112.5,2021-09-01,2021-09-10,0.0,3.571428571428571,0.4464285714285714,0.4464285714285714
6,2022-02-11-2022-03-11 報酬率:0.92% 本金:84502996.59,,2021-09-09,0.9415654256263004,-5.843457437369959,2492,83.0,186.5,175.0,174.0,186.5,2021-09-01,2021-09-10,-6.166219839142095,6.702412868632708,0.0,0.0
7,2022-03-11-2022-04-01 報酬率:-1.88% 本金:82920370.29,,2021-09-13,0.9629292467983553,-3.7070753201644657,3034,82.0,463.0,454.0,425.5,463.0,2021-09-01,2021-09-10,-1.943844492440605,8.099352051835854,0.0,0.0
8,2022-04-01-2022-04-11 報酬率:-3.82% 本金:79768545.59,,2021-09-14,0.9710809431190747,-2.891905688092533,8150,82.0,59.8,57.0,53.6,60.9,2021-09-01,2021-09-10,-4.682274247491636,10.367892976588621,1.8394648829431464,1.8394648829431464
9,2022-04-11-2022-05-16 報酬率:-3.62% 本金:76904159.05,,2021-09-15,0.9354893481352047,-6.451065186479532,8016,82.0,300.0,273.0,256.0,300.0,2021-09-01,2021-09-10,-8.999999999999996,14.666666666666666,0.0,0.0
10,2022-05-16-2022-06-11 報酬率:11.23% 本金:85520393.395,,2021-09-16,0.9416003344075324,-5.839966559246756,2408,87.0,65.8,61.6,61.4,67.2,2021-09-13,2021-10-08,-6.382978723404253,6.686930091185409,2.127659574468094,2.127659574468094
11,2022-06-11-2022-07-11 報酬率:-17.54% 本金:70593055.325,,2021-09-17,0.9444948728622575,-5.550512713774247,6147,87.0,73.7,63.3,63.3,73.7,2021-09-13,2021-10-08,-14.111261872455906,14.111261872455911,0.0,0.0
12,2022-07-11-2022-08-15 報酬率:6.68% 本金:75279429.365,,2021-09-22,0.9156068178009897,-8.439318219901025,2393,86.0,52.5,46.05,45.65,52.5,2021-09-13,2021-10-08,-12.285714285714288,13.04761904761905,0.0,0.0
13,2022-08-15-2022-09-11 報酬率:3.18% 本金:77665184.615,,2021-09-23,0.9289488382845607,-7.105116171543935,3033,83.0,27.65,26.6,26.6,29.4,2021-09-13,2021-10-08,-3.7974683544303667,3.7974683544303693,6.329113924050633,6.329113924050633
14,2022-09-11-2022-10-11 報酬率:-14.5% 本金:66444345.114999995,,2021-09-24,0.9366593763305865,-6.334062366941351,6239,82.0,109.5,100.5,100.0,111.5,2021-09-13,2021-10-08,-8.21917808219178,8.67579908675799,1.82648401826484,1.82648401826484
15,2022-10-11-2022-11-15 報酬率:10.71% 本金:73520784.835,,2021-09-27,0.9382307635212975,-6.176923647870247,3042,82.0,105.0,100.0,95.7,110.0,2021-09-13,2021-10-08,-4.761904761904767,8.857142857142856,4.761904761904762,4.761904761904762
16,2022-11-15-2022-12-11 報酬率:1.06% 本金:74291632.73499998,,2021-09-28,0.9344058368793375,-6.559416312066246,3034,82.0,444.0,389.0,389.0,444.0,2021-09-13,2021-10-08,-12.387387387387383,12.387387387387387,0.0,0.0
17,2022-12-11-2023-01-11 報酬率:-2.91% 本金:72152816.19999999,,2021-09-29,0.9087617033006157,-9.123829669938432,3545,81.0,175.0,145.0,139.5,176.5,2021-09-13,2021-10-08,-17.14285714285714,20.285714285714285,0.8571428571428572,0.8571428571428572
18,2023-01-11-2023-02-11 報酬率:7.93% 本金:77825509.97999999,,2021-09-30,0.9127941171779259,-8.720588282207409,2337,81.0,39.5,35.6,34.15,39.5,2021-09-13,2021-10-08,-9.873417721518985,13.544303797468357,0.0,0.0
19,2023-02-11-2023-03-11 報酬率:-2.75% 本金:75709149.85499999,,2021-10-01,0.8871538217914273,-11.284617820857267,2441,81.0,87.2,77.1,76.7,87.7,2021-09-13,2021-10-08,-11.582568807339456,12.041284403669724,0.5733944954128439,0.5733944954128439
20,2023-03-11-2023-04-01 報酬率:6.52% 本金:80618158.91499998,,2021-10-04,0.8705343549676687,-12.946564503233127,2344,85.0,25.05,30.15,24.0,30.15,2021-10-12,2021-11-15,20.35928143712573,4.191616766467068,0.0,20.35928143712574
21,2023-04-01-2023-04-11 報酬率:2.51% 本金:82635093.25999998,,2021-10-05,0.8848899777232846,-11.51100222767154,2408,84.0,61.0,70.3,59.4,70.3,2021-10-12,2021-11-15,15.24590163934425,2.6229508196721336,0.0,15.24590163934426
22,2023-04-11-2023-05-16 報酬率:-0.23% 本金:82445383.96999998,,2021-10-06,0.8593618836142991,-14.06381163857009,2409,84.0,17.05,20.3,16.8,21.1,2021-10-12,2021-11-15,19.061583577712614,1.4662756598240467,0.0,23.753665689149564
23,2023-05-16-2023-06-11 報酬率:11.9% 本金:92192215.81999998,,2021-10-07,0.8794558354923051,-12.054416450769489,3034,83.0,372.0,470.0,371.5,470.0,2021-10-12,2021-11-15,26.344086021505376,0.13440860215053765,0.0,26.344086021505376
24,2023-06-11-2023-07-11 報酬率:2.69% 本金:94646168.31999998,,2021-10-12,0.8661117787953627,-13.388822120463729,2393,83.0,45.05,51.6,44.65,51.6,2021-10-12,2021-11-15,14.53940066592676,0.8879023307436151,0.0,14.539400665926758
25,2023-07-11-2023-08-15 報酬率:1.54% 本金:96095734.89999999,,2021-10-13,0.8490703034965096,-15.092969650349042,2352,82.0,29.9,31.2,29.9,33.55,2021-10-12,2021-11-15,4.347826086956519,0.0,1.6722408026755853,12.207357859531768
26,2023-08-15-2023-09-11 報酬率:0.79% 本金:96852810.07,,2021-10-14,0.867726638126384,-13.227336187361605,3042,82.0,98.0,110.5,96.0,110.5,2021-10-12,2021-11-15,12.755102040816336,2.0408163265306123,0.0,12.755102040816327
27,2023-09-11-2023-10-11 報酬率:4.83% 本金:101510301.78999999,,2021-10-15,0.8825245100386431,-11.747548996135693,6147,82.0,62.0,68.2,61.0,68.2,2021-10-12,2021-11-15,10.000000000000009,1.6129032258064515,0.0,10.000000000000005
28,2023-10-11-2023-11-15 報酬率:-0.58% 本金:100923314.52999999,,2021-10-18,0.8719698653839838,-12.80301346160162,8150,82.0,44.3,47.15,42.9,47.15,2021-10-12,2021-11-15,6.433408577878108,3.1602708803611703,0.0,6.433408577878108
29,2023-11-15-2023-12-05 報酬率:7.74% 本金:108668109.45999998,,2021-10-19,0.8846984623059866,-11.530153769401341,2636,81.0,133.0,133.5,122.0,145.0,2021-10-12,2021-11-15,0.3759398496240518,8.270676691729323,3.7593984962406015,9.022556390977442
30,win_rate:63.33%,,2021-10-20,0.8831218590599095,-11.687814094009052,6239,88.0,99.3,96.7,96.2,101.0,2021-11-15,2021-12-10,-2.618328298086603,3.1218529707955636,1.7119838872104762,1.7119838872104762
31,sharpe_ratio:0.64,,2021-10-21,0.8792357820164171,-12.076421798358295,6147,84.0,68.2,66.9,66.2,68.3,2021-11-15,2021-12-10,-1.9061583577712593,2.9325513196480935,0.14662756598239635,0.14662756598239635
32,yearly_roi_fund:11.02%,,2021-10-22,0.8809517969507931,-11.904820304920694,2441,84.0,80.7,76.3,76.2,81.8,2021-11-15,2021-12-10,-5.4522924411400275,5.5762081784386615,1.3630731102849991,1.3630731102849991
33,yearly_roi_algo:11.46%,,2021-10-25,0.8910382646662215,-10.896173533377851,2337,83.0,42.85,41.4,41.4,43.8,2021-11-15,2021-12-10,-3.3838973162193753,3.3838973162193766,2.217036172695439,2.217036172695439
34,,,2021-10-26,0.8961516256706503,-10.384837432934969,6269,82.0,101.5,103.5,100.0,104.5,2021-11-15,2021-12-10,1.9704433497536922,1.477832512315271,0.0,2.955665024630542
35,,,2021-10-27,0.906550216833515,-9.3449783166485,2408,82.0,70.3,77.8,69.6,79.8,2021-11-15,2021-12-10,10.668563300142253,0.9957325746799472,1.8492176386913188,13.513513513513514
36,,,2021-10-28,0.9169054569347551,-8.309454306524488,2484,82.0,38.75,39.4,38.5,43.9,2021-11-15,2021-12-10,1.6774193548387162,0.6451612903225806,13.290322580645158,13.290322580645158
37,,,2021-10-29,0.9192363412096243,-8.076365879037573,2603,81.0,112.0,140.0,112.0,146.0,2021-11-15,2021-12-10,25.0,0.0,6.696428571428571,30.357142857142854
38,,,2021-11-01,0.9324884527507705,-6.751154724922948,2344,81.0,30.15,30.9,29.7,32.6,2021-11-15,2021-12-10,2.487562189054726,1.4925373134328335,1.4925373134328452,8.12603648424545
39,,,2021-11-02,0.917360086046748,-8.263991395325199,2449,81.0,42.15,44.3,42.05,45.45,2021-11-15,2021-12-10,5.100830367734277,0.2372479240806677,4.151838671411625,7.829181494661933
40,,,2021-11-03,0.9440171364514403,-5.598286354855975,6147,89.0,66.7,67.9,64.9,67.9,2021-12-13,2022-01-11,1.799100449775115,2.698650674662664,0.0,1.7991004497751164
41,,,2021-11-04,0.9329629187117822,-6.703708128821784,2408,86.0,76.6,73.5,73.5,78.1,2021-12-13,2022-01-11,-4.046997389033935,4.046997389033936,1.95822454308094,1.95822454308094
42,,,2021-11-05,0.9429241218484987,-5.707587815150128,2393,83.0,51.3,51.7,50.4,53.4,2021-12-13,2022-01-11,0.7797270955165914,1.7543859649122782,0.0,4.093567251461992
