,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2023-01-01-2023-01-11 報酬率:0.45% 本金:1003551.85,每次換手最大報酬 : 10.23%,2023-01-03,1.0,0.0,1234,88.0,32.65,32.65,32.6,32.75,2023-01-03,2023-01-11,0.0,0.15313935681469268,0.3062787136294071,0.3062787136294071
1,2023-01-11-2023-02-11 報酬率:4.23% 本金:1034777.71,每次換手最小報酬 : -3.07%,2023-01-04,1.0085373883971631,0.0,4417,88.0,38.8,37.35,37.35,39.3,2023-01-03,2023-01-11,-3.7371134020618424,3.737113402061845,1.288659793814433,1.288659793814433
2,2023-02-11-2023-03-11 報酬率:0.48% 本金:1038328.9899999999,,2023-01-05,1.0085873913056689,0.0,3492,87.0,18.3,18.35,18.2,18.5,2023-01-03,2023-01-11,0.2732240437158584,0.5464480874317017,0.0,1.092896174863384
3,2023-03-11-2023-04-01 報酬率:2.76% 本金:1062672.19,,2023-01-06,1.0090479183260042,0.0,1315,86.0,70.0,71.5,70.0,71.5,2023-01-03,2023-01-11,2.1428571428571352,0.0,1.2857142857142938,2.142857142857143
4,2023-04-01-2023-04-11 報酬率:2.56% 本金:1084372.03,,2023-01-09,1.0131385864306017,0.0,3022,86.0,72.1,70.0,70.0,73.8,2023-01-03,2023-01-11,-2.9126213592232886,2.9126213592232935,2.357836338418867,2.357836338418867
5,2023-04-11-2023-05-16 報酬率:-3.07% 本金:1057351.425,,2023-01-10,1.0093458505694075,-0.3743550894213188,1339,85.0,41.45,41.2,40.95,41.85,2023-01-03,2023-01-11,-0.6031363088057851,1.2062726176115801,0.9650180940892606,0.9650180940892606
6,2023-05-16-2023-06-11 報酬率:10.23% 本金:1133544.465,,2023-01-11,1.0044663576872297,-0.8559765524206564,8049,85.0,29.95,32.0,29.95,32.0,2023-01-03,2023-01-11,6.844741235392315,0.0,1.1686143572621082,6.844741235392323
7,2023-06-11-2023-07-11 報酬率:1.29% 本金:1145649.1800000002,,2023-01-12,0.9872594763098672,-2.5543504578094733,1777,84.0,82.6,81.1,81.1,83.5,2023-01-03,2023-01-11,-1.8159806295399483,1.8159806295399519,1.0895883777239779,1.0895883777239779
8,2023-07-11-2023-08-15 報酬率:0.1% 本金:1146483.28,,2023-01-13,0.9914183985027112,-2.143851613076264,4163,84.0,104.5,108.5,104.5,110.0,2023-01-03,2023-01-11,3.8277511961722466,0.0,0.0,5.263157894736842
9,2023-08-15-2023-09-11 報酬率:3.73% 本金:1181670.235,,2023-01-16,0.9990956037676482,-1.3860870418950788,3093,86.0,28.75,29.25,27.6,30.5,2023-01-11,2023-02-10,1.7391304347825987,3.999999999999995,0.0,6.086956521739131
10,2023-09-11-2023-09-21 報酬率:-0.09% 本金:1180738.735,,2023-01-17,1.0048288149071047,-0.8202008722985488,8049,84.0,32.0,32.6,31.6,34.0,2023-01-11,2023-02-10,1.8750000000000044,1.2499999999999956,0.0,6.25
11,win_rate:81.82%,,2023-01-30,1.0064389511331895,-0.6612753069662247,1817,83.0,39.05,39.7,38.7,40.45,2023-01-11,2023-02-10,1.6645326504481472,0.896286811779755,0.0,3.585147247119093
12,sharpe_ratio:2.2,,2023-01-31,1.0060446019112348,-0.7001988291019279,4417,83.0,37.35,37.8,36.85,37.9,2023-01-11,2023-02-10,1.2048192771084265,1.3386880856760375,0.2677376171352113,1.4725568942436336
13,yearly_roi_fund:25.95%,,2023-02-01,1.0063097817822462,-0.6740247326295412,4126,82.0,73.2,74.4,72.2,75.0,2023-01-11,2023-02-10,1.6393442622950838,1.366120218579235,0.0,2.459016393442619
14,yearly_roi_algo:38.06%,,2023-02-02,1.0153685677808333,0.0,4741,81.0,26.3,26.05,25.8,26.3,2023-01-11,2023-02-10,-0.9505703422053258,1.9011406844106464,0.0,0.0
15,,,2023-02-03,1.0263339094720259,0.0,4746,81.0,64.2,68.4,62.8,71.1,2023-01-11,2023-02-10,6.542056074766367,2.180685358255461,0.0,10.747663551401855
16,,,2023-02-06,1.0450041597955178,0.0,3022,81.0,70.0,77.7,69.1,80.4,2023-01-11,2023-02-10,11.00000000000001,1.2857142857142938,1.4285714285714286,14.857142857142867
17,,,2023-02-07,1.068908063160832,0.0,4747,81.0,48.45,54.9,44.0,57.8,2023-01-11,2023-02-10,13.31269349845201,9.184726522187828,0.0,19.298245614035075
18,,,2023-02-08,1.0624419865220318,-0.6049235534513309,1315,91.0,71.3,72.2,71.3,72.5,2023-02-13,2023-03-10,1.2622720897615736,0.0,0.0,1.683029453015432
19,,,2023-02-09,1.0615986572799296,-0.6838198843114762,1234,88.0,34.05,35.25,34.05,35.55,2023-02-13,2023-03-10,3.524229074889873,0.0,1.0279001468428826,4.405286343612335
20,,,2023-02-13,1.046907299982311,-2.0582465355779345,1777,85.0,86.0,86.5,86.0,91.5,2023-02-13,2023-03-10,0.5813953488372103,0.0,0.0,6.395348837209303
21,,,2023-02-14,1.0358043817991875,-3.0969624519207706,4417,84.0,38.05,38.75,38.05,39.15,2023-02-13,2023-03-10,1.8396846254927768,0.0,0.0,2.890932982917218
22,,,2023-02-15,1.0386169100095752,-2.833840832080914,4958,83.0,113.0,114.0,112.0,117.5,2023-02-13,2023-03-10,0.8849557522123908,0.8849557522123894,1.7699115044247788,3.982300884955752
23,,,2023-02-16,1.0421913804025096,-2.499436918767317,6180,83.0,92.0,79.2,79.2,92.0,2023-02-13,2023-03-10,-13.913043478260867,13.913043478260867,0.0,0.0
24,,,2023-02-17,1.0551143912114758,-1.2904451210301038,3022,80.0,78.9,77.8,77.8,86.7,2023-02-13,2023-03-10,-1.3941698352344822,1.3941698352344847,9.885931558935358,9.885931558935358
25,,,2023-02-20,1.0527723405697,-1.5095519574824467,3213,80.0,45.1,50.1,45.0,51.9,2023-02-13,2023-03-10,11.086474501108645,0.22172949002217607,0.0,15.077605321507754
26,,,2023-02-21,1.0571850757227819,-1.0967255128925268,3022,86.0,75.0,85.3,73.2,85.5,2023-03-13,2023-03-31,13.73333333333333,2.3999999999999964,0.0,14.000000000000002
27,,,2023-02-22,1.0540092195712751,-1.3938377025148552,1319,85.0,44.5,46.2,43.8,46.8,2023-03-13,2023-03-31,3.8202247191011285,1.5730337078651748,0.0,5.16853932584269
28,,,2023-02-23,1.0557415332780384,-1.2317738387957688,1336,85.0,27.95,26.7,26.6,29.0,2023-03-13,2023-03-31,-4.472271914132375,4.830053667262963,3.756708407871201,3.756708407871201
29,,,2023-02-24,1.0495189448057494,-1.81391824267354,8049,83.0,39.0,39.65,38.6,39.75,2023-03-13,2023-03-31,1.6666666666666607,1.025641025641022,1.538461538461542,1.9230769230769231
30,,,2023-03-01,1.0565302643678773,-1.1579853515514493,4538,83.0,20.95,21.2,20.55,21.65,2023-03-13,2023-03-31,1.193317422434359,1.9093078758949813,0.0,3.3412887828162257
31,,,2023-03-02,1.0574966529308978,-1.0675764009291933,5533,83.0,17.8,17.9,17.6,17.9,2023-03-13,2023-03-31,0.561797752808979,1.1235955056179736,0.0,0.5617977528089768
32,,,2023-03-03,1.0638076355450803,-0.47716242318066593,1234,83.0,35.3,35.9,35.3,36.05,2023-03-13,2023-03-31,1.6997167138810276,0.0,0.708215297450425,2.1246458923512748
33,,,2023-03-06,1.0722473310007232,0.0,1737,82.0,33.35,33.45,32.95,33.5,2023-03-13,2023-03-31,0.2998500749625155,1.1994002998500706,0.0,0.44977511244377383
34,,,2023-03-07,1.0795991599956414,0.0,4550,82.0,29.9,31.8,29.9,32.5,2023-03-13,2023-03-31,6.354515050167242,0.0,4.515050167224085,8.695652173913048
35,,,2023-03-08,1.0836677913544424,0.0,4550,89.0,31.05,31.9,31.05,31.9,2023-04-06,2023-04-11,2.7375201288244666,0.0,0.0,2.7375201288244697
