,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2015-01-01-2015-01-11 報酬率:0.02% 本金:1000157.65,每次換手最大報酬 : 16.82%,2015-01-05,1.0,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0,1.1006289308176145,0.0,0.0
1,2015-01-11-2015-02-11 報酬率:0.8% 本金:1006807.25,每次換手最小報酬 : -15.95%,2015-01-06,0.9928086317831364,-0.7191368216863614,8213,82.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663,2.819548872180451,0.0,0.0
2,2015-02-11-2015-03-11 報酬率:7.96% 本金:1067924.1300000001,,2015-01-07,1.0029471312685596,0.0,8249,81.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396,3.5573122529644357,0.395256916996039,0.395256916996039
3,2015-03-11-2015-04-01 報酬率:2.64% 本金:1090456.5300000003,,2015-01-08,1.0028159104600536,-0.013083521993828562,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365,1.656626506024109,0.0,0.0
4,2015-04-01-2015-04-11 報酬率:1.18% 本金:1101220.4900000002,,2015-01-12,1.000173785570751,-0.27651963013252123,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438,2.110817941952499,0.2638522427440671,0.2638522427440671
5,2015-04-11-2015-05-16 報酬率:-1.53% 本金:1086461.1920000003,,2015-01-13,0.997531593390876,-0.53996244755532,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751,1.6431924882629174,0.0,1.4084507042253553
6,2015-05-16-2015-06-11 報酬率:2.79% 本金:1112550.4820000003,,2015-01-14,0.9996925557301616,-0.32450120618835454,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828,0.0,0.0,8.76777251184833
7,2015-06-11-2015-07-11 報酬率:0.84% 本金:1120591.8020000001,,2015-01-15,1.0039224556445243,0.0,8905,80.0,23.0,23.25,23.0,23.25,2015-01-05,2015-01-09,1.0869565217391353,0.0,0.4347826086956583,1.0869565217391304
8,2015-07-11-2015-08-15 報酬率:-7.44% 本金:1049377.61,,2015-01-16,0.9945455993319239,-0.9340219715058051,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665,3.076923076923084,0.0,0.25641025641026005
9,2015-08-15-2015-09-11 報酬率:3.85% 本金:1087282.7850000001,,2015-01-19,0.9847039689250691,-1.9143397591517064,6261,79.0,61.6,62.0,61.1,62.0,2015-01-05,2015-01-09,0.6493506493506551,0.8116883116883116,0.0,0.649350649350647
