,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2015-01-01-2015-01-11 報酬率:-0.2% 本金:998351.5,每次換手最大報酬 : 15.06%,2015-01-05,1.0,0.0,2428,83.0,45.25,45.1,44.35,45.25,2015-01-05,2015-01-09,-0.33149171270717703,1.9889502762430906,0.0,0.0
1,2015-01-11-2015-02-11 報酬率:0.91% 本金:1005652.43,每次換手最小報酬 : -14.03%,2015-01-06,0.9928909709545899,-0.7109029045410109,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0,1.1006289308176145,0.0,0.0
2,2015-02-11-2015-03-11 報酬率:6.29% 本金:1056739.81,,2015-01-07,1.0039993687057314,0.0,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396,3.5573122529644357,0.395256916996039,0.395256916996039
3,2015-03-11-2015-04-01 報酬率:4.03% 本金:1090033.655,,2015-01-08,1.0026715475164658,-0.13225318965860433,6108,82.0,24.15,24.3,24.0,24.6,2015-01-05,2015-01-09,0.6211180124223725,0.6211180124223544,0.0,1.8633540372670927
4,2015-04-01-2015-04-11 報酬率:2.1% 本金:1108819.205,,2015-01-12,0.9979669849544852,-0.6008354127774562,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663,2.819548872180451,0.0,0.0
5,2015-04-11-2015-05-16 報酬率:-0.69% 本金:1102256.6150000002,,2015-01-13,0.9969644811928953,-0.7006864478316222,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751,1.6431924882629174,0.0,1.4084507042253553
6,2015-05-16-2015-06-11 報酬率:2.69% 本金:1128705.502,,2015-01-14,1.0017569730834257,-0.2233463179559969,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365,1.656626506024109,0.0,0.0
7,2015-06-11-2015-07-11 報酬率:-2.75% 本金:1101608.377,,2015-01-15,1.001692605222111,-0.22975746355240467,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828,0.0,0.0,8.76777251184833
8,2015-07-11-2015-08-15 報酬率:-5.62% 本金:1045861.9110000001,,2015-01-16,0.9913070020860363,-1.2641807370912028,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438,2.110817941952499,0.2638522427440671,0.2638522427440671
9,2015-08-15-2015-09-11 報酬率:3.28% 本金:1076662.7510000002,,2015-01-19,0.9830507773639802,-2.086514393804484,2351,79.0,39.4,39.05,39.05,39.4,2015-01-05,2015-01-09,-0.8883248730964466,0.8883248730964504,0.0,0.0
10,2015-09-11-2015-10-11 報酬率:6.96% 本金:1144549.895,,2015-01-20,0.9948804598905967,-0.9082584212069755,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562,6.903765690376564,0.41841004184101016,0.41841004184101016
11,2015-10-11-2015-11-15 報酬率:10.2% 本金:1251669.2750000001,,2015-01-21,0.9979377297848565,-0.6037492761264418,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003,2.239999999999998,0.47999999999999543,3.5200000000000045
12,2015-11-15-2015-12-11 報酬率:0.02% 本金:1251890.235,,2015-01-22,1.0206895617615843,0.0,2428,83.0,45.1,46.4,43.9,46.5,2015-01-12,2015-02-11,2.882483370288247,2.6607538802660815,0.11086474501108017,3.104212860310418
13,2015-12-11-2016-01-11 報酬率:0.54% 本金:1257996.8250000002,,2015-01-23,1.018075688769655,-0.2560889314296655,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326,1.2542759407069652,0.0,6.841505131128849
14,2016-01-11-2016-02-11 報酬率:4.03% 本金:1301794.8650000002,,2015-01-26,1.0159006670665196,-0.46918229346831763,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984,0.1226993865030605,0.736196319018398,7.239263803680989
15,2016-02-11-2016-03-11 報酬率:8.76% 本金:1404409.5050000001,,2015-01-27,1.020672881996343,-0.0016341663387264838,1104,82.0,26.0,26.65,26.0,27.9,2015-01-12,2015-02-11,2.499999999999991,0.0,0.0,7.307692307692302
16,2016-03-11-2016-04-01 報酬率:0.15% 本金:1406320.5050000001,,2015-01-28,1.019764504586196,-0.09063060993704797,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457,1.3803680981595179,0.7668711656441718,0.7668711656441718
17,2016-04-01-2016-04-11 報酬率:0.43% 本金:1411605.85,,2015-01-29,1.0137414616826834,-0.6807260835419271,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524,5.474452554744526,1.0948905109489078,1.0948905109489078
18,2016-04-11-2016-05-16 報酬率:-1.39% 本金:1393631.76,,2015-01-30,1.0122456726952067,-0.8272729909968413,1535,81.0,69.1,66.6,66.5,69.1,2015-01-12,2015-02-11,-3.61794500723589,3.7626628075253175,0.0,0.0
19,2016-05-16-2016-06-11 報酬率:6.9% 本金:1478591.46,,2015-02-02,1.0081105490912876,-1.2324033811599744,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066,1.8796992481203008,0.0,6.766917293233071
20,2016-06-11-2016-07-11 報酬率:7.59% 本金:1578468.27,,2015-02-03,1.0099683490083182,-1.0503891834420798,8249,87.0,25.4,25.4,25.3,26.2,2015-02-11,2015-03-11,0.0,0.39370078740156644,3.1496062992126013,3.1496062992126013
21,2016-07-11-2016-08-15 報酬率:1.0% 本金:1592640.27,,2015-02-04,1.0114252110448287,-0.9076560654511345,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705,0.0,0.7633587786259515,6.870229007633591
22,2016-08-15-2016-09-11 報酬率:-0.69% 本金:1582577.034,,2015-02-05,1.0170097436528451,-0.36052275310705095,2428,83.0,46.4,47.45,45.9,48.1,2015-02-11,2015-03-11,2.2629310344827624,1.0775862068965518,0.0,3.663793103448282
23,2016-09-11-2016-10-11 報酬率:4.84% 本金:1652229.474,,2015-02-06,1.0154004677984598,-0.5181883073239413,2383,83.0,43.7,49.7,43.7,49.7,2015-02-11,2015-03-11,13.729977116704806,0.0,0.4576659038901504,13.729977116704806
24,2016-10-11-2016-11-15 報酬率:-4.37% 本金:1588259.229,,2015-02-09,1.006887081911989,-1.3522701090206035,6261,83.0,64.5,68.4,64.5,68.4,2015-02-11,2015-03-11,6.046511627906992,0.0,0.0,6.046511627906986
