,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2015-01-01-2015-01-11 報酬率:2.15% 本金:1017022.6250000001,每次換手最大報酬 : 17.45%,2015-01-05,1.0,0.0,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0,1.1006289308176145,0.0,0.0
1,2015-01-11-2015-02-11 報酬率:1.29% 本金:1028049.545,每次換手最小報酬 : -16.4%,2015-01-06,0.991792941895652,-0.8207058104347964,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663,2.819548872180451,0.0,0.0
2,2015-02-11-2015-03-11 報酬率:7.67% 本金:1091844.77,,2015-01-07,1.0114074828554638,0.0,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828,0.0,0.0,8.76777251184833
3,2015-03-11-2015-04-01 報酬率:3.65% 本金:1123163.595,,2015-01-08,1.0141178305906418,0.0,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438,2.110817941952499,0.2638522427440671,0.2638522427440671
4,2015-04-01-2015-04-11 報酬率:0.42% 本金:1126908.7349999999,,2015-01-12,1.0215155793489927,0.0,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665,3.076923076923084,0.0,0.25641025641026005
5,2015-04-11-2015-05-16 報酬率:-0.63% 本金:1120816.8869999999,,2015-01-13,1.02284100973795,0.0,3264,79.0,26.75,27.2,26.25,27.2,2015-01-05,2015-01-09,1.6822429906542036,1.8691588785046727,0.0,1.682242990654203
6,2015-05-16-2015-06-11 報酬率:3.13% 本金:1150928.426,,2015-01-14,1.0256799139171315,0.0,2383,78.0,40.75,41.05,39.3,41.05,2015-01-05,2015-01-09,0.7361963190184007,3.558282208588964,0.0,0.736196319018398
7,2015-06-11-2015-07-11 報酬率:-0.8% 本金:1143413.626,,2015-01-15,1.0287089429005594,0.0,2449,78.0,26.15,27.0,26.1,27.05,2015-01-05,2015-01-09,3.250478011472291,0.19120458891012299,0.0,3.4416826003824177
8,2015-07-11-2015-08-15 報酬率:-11.26% 本金:1031394.6419999999,,2015-01-16,1.023945730836188,-0.4630281575020656,8150,78.0,42.3,42.3,41.65,42.3,2015-01-05,2015-01-09,0.0,1.5366430260047248,0.0,0.0
9,2015-08-15-2015-09-11 報酬率:4.59% 本金:1073457.4019999998,,2015-01-19,1.0139236774147486,-1.437264212374978,2615,78.0,28.2,32.05,28.2,32.05,2015-01-05,2015-01-09,13.65248226950353,0.0,0.0,13.652482269503539
10,2015-09-11-2015-10-11 報酬率:3.88% 本金:1111479.4619999998,,2015-01-20,1.0303262659639996,0.0,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984,0.1226993865030605,0.736196319018398,7.239263803680989
