,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%)
0,2015-01-01-2015-01-11 報酬率:0.02% 本金:1000157.65,每次換手最大報酬 : 15.98%,2015-01-05,1.0,0.0,8249,82.0,25.3,24.4,24.4,25.4,2015-01-05,2015-01-09,-3.5573122529644396
1,2015-01-11-2015-02-11 報酬率:1.05% 本金:1008847.45,每次換手最小報酬 : -16.43%,2015-01-06,0.9928086317831365,-0.7191368216863503,2542,82.0,63.6,63.6,62.9,63.6,2015-01-05,2015-01-09,0.0
2,2015-02-11-2015-03-11 報酬率:7.84% 本金:1068811.69,,2015-01-07,1.0029471312685596,0.0,6220,80.0,18.95,18.65,18.55,19.0,2015-01-05,2015-01-09,-1.58311345646438
3,2015-03-11-2015-04-01 報酬率:1.87% 本金:1084825.435,,2015-01-08,1.0028159104600536,-0.013083521993828562,5356,80.0,66.4,65.8,65.3,66.4,2015-01-05,2015-01-09,-0.9036144578313365
4,2015-04-01-2015-04-11 報酬率:-1.18% 本金:1072177.723,,2015-01-12,1.0001737855707513,-0.27651963013249903,5514,80.0,21.3,21.45,20.95,21.6,2015-01-05,2015-01-09,0.7042253521126751
5,2015-04-11-2015-05-16 報酬率:-0.72% 本金:1065499.003,,2015-01-13,0.9970249997913075,-0.5904729464415115,8213,80.0,53.2,52.0,51.7,53.2,2015-01-05,2015-01-09,-2.2556390977443663
6,2015-05-16-2015-06-11 報酬率:2.79% 本金:1091054.8450000002,,2015-01-14,1.0008079911787537,-0.21328542882417256,2387,80.0,21.1,22.4,21.1,22.95,2015-01-05,2015-01-09,6.16113744075828
7,2015-06-11-2015-07-11 報酬率:-0.06% 本金:1090467.685,,2015-01-15,1.0054713898697283,0.0,6261,79.0,61.6,62.0,61.1,62.0,2015-01-05,2015-01-09,0.6493506493506551
8,2015-07-11-2015-08-15 報酬率:-8.25% 本金:1008571.5850000001,,2015-01-16,0.9948751598053718,-1.0538569442268608,8905,79.0,23.0,23.25,23.0,23.25,2015-01-05,2015-01-09,1.0869565217391353
9,2015-08-15-2015-09-11 報酬率:-1.55% 本金:993039.8100000002,,2015-01-19,0.9852916851027175,-2.0069894549287315,4915,79.0,39.0,38.95,37.8,39.1,2015-01-05,2015-01-09,-0.12820512820511665
10,2015-09-11-2015-10-11 報酬率:-2.52% 本金:968022.7620000002,,2015-01-20,1.0033457181439753,-0.2114104635069114,6108,87.0,23.9,22.25,22.25,24.0,2015-01-12,2015-02-11,-6.903765690376562
11,2015-10-11-2015-11-15 報酬率:11.08% 本金:1051405.3020000001,,2015-01-21,1.0126700217534101,0.0,6261,84.0,62.5,64.5,61.1,64.7,2015-01-12,2015-02-11,3.200000000000003
12,2015-11-15-2015-12-11 報酬率:2.41% 本金:1076734.161,,2015-01-22,1.0347859818202811,0.0,4935,83.0,43.85,45.0,43.3,46.85,2015-01-12,2015-02-11,2.6225769669327326
13,2015-12-11-2016-01-11 報酬率:3.82% 本金:1117469.1130000001,,2015-01-23,1.0274740836068919,-0.7066097088527457,2383,83.0,40.75,43.7,40.7,43.7,2015-01-12,2015-02-11,7.239263803680984
14,2016-01-11-2016-02-11 報酬率:-4.34% 本金:1069463.939,,2015-01-26,1.027197175521313,-0.733369646699189,3264,82.0,27.4,25.9,25.9,27.7,2015-01-12,2015-02-11,-5.474452554744524
15,2016-02-11-2016-03-11 報酬率:12.04% 本金:1171647.4190000002,,2015-01-27,1.0281652862762414,-0.6398130299748894,2542,82.0,65.2,65.1,64.3,65.7,2015-01-12,2015-02-11,-0.15337423312884457
16,2016-03-11-2016-04-01 報酬率:-0.5% 本金:1166405.9190000002,,2015-01-28,1.030355260155068,-0.4281775887047701,2367,81.0,13.3,14.2,13.05,14.2,2015-01-12,2015-02-11,6.766917293233066
17,2016-04-01-2016-04-11 報酬率:1.23% 本金:1180575.0270000002,,2015-01-29,1.0200859122714445,-1.420590325641824,1527,80.0,44.0,43.3,42.95,44.9,2015-01-12,2015-02-11,-1.5909090909090984
18,2016-04-11-2016-05-16 報酬率:-3.26% 本金:1149680.0070000002,,2015-01-30,1.0200686802615981,-1.4222555984759189,6220,80.0,18.7,17.45,17.4,19.0,2015-01-12,2015-02-11,-6.68449197860963
19,2016-05-16-2016-06-11 報酬率:8.1% 本金:1227269.9070000001,,2015-02-02,1.0146063074453615,-1.9501302423349243,4915,80.0,38.8,43.25,38.45,44.65,2015-01-12,2015-02-11,11.469072164948457
20,2016-06-11-2016-07-11 報酬率:7.84% 本金:1302659.347,,2015-02-03,1.017524322706166,-1.6681380901343745,8213,85.0,52.4,55.0,52.4,56.0,2015-02-11,2015-03-11,4.961832061068705
21,2016-07-11-2016-08-15 報酬率:3.89% 本金:1341864.712,,2015-02-04,1.0237929445117393,-1.0623488819595406,8182,83.0,18.6,18.25,18.05,19.15,2015-02-11,2015-03-11,-1.8817204301075363
22,2016-08-15-2016-09-11 報酬率:1.83% 本金:1364902.216,,2015-02-05,1.0269462368276177,-0.7576199456116206,3105,83.0,34.35,41.0,33.75,41.0,2015-02-11,2015-03-11,19.359534206695784
23,2016-09-11-2016-10-11 報酬率:3.51% 本金:1406639.626,,2015-02-06,1.022151490555497,-1.220976268209495,2383,83.0,43.7,49.7,43.7,49.7,2015-02-11,2015-03-11,13.729977116704806
24,2016-10-11-2016-11-15 報酬率:-4.37% 本金:1354116.596,,2015-02-09,1.0167984839933473,-1.7382819387727122,6261,83.0,64.5,68.4,64.5,68.4,2015-02-11,2015-03-11,6.046511627906992
25,2016-11-15-2016-12-11 報酬率:6.65% 本金:1428264.096,,2015-02-10,1.017275848581388,-1.6921502171967306,2449,82.0,26.6,29.3,26.45,29.6,2015-02-11,2015-03-11,10.15037593984962
26,2016-12-11-2017-01-11 報酬率:2.22% 本金:1455895.326,,2015-02-11,1.0106664454078185,-2.3308719712296644,2351,81.0,43.3,45.55,43.3,45.85,2015-02-11,2015-03-11,5.196304849884537
27,2017-01-11-2017-02-11 報酬率:8.19% 本金:1564818.231,,2015-02-12,1.0145373477440633,-1.9567943934260312,8021,81.0,27.85,29.9,27.65,30.15,2015-02-11,2015-03-11,7.360861759425474
28,2017-02-11-2017-03-11 報酬率:2.69% 本金:1604640.9909999997,,2015-02-13,1.0121159094718137,-2.190798169548902,3211,80.0,73.4,77.6,72.9,79.1,2015-02-11,2015-03-11,5.722070844686633
29,2017-03-11-2017-04-01 報酬率:0.55% 本金:1612585.1909999999,,2015-02-24,1.0359245994821216,0.0,3264,80.0,25.9,27.9,25.9,27.95,2015-02-11,2015-03-11,7.722007722007729
30,2017-04-01-2017-04-11 報酬率:1.91% 本金:1640781.5659999996,,2015-02-25,1.038898354892642,0.0,2915,86.0,65.2,67.7,65.2,68.5,2015-03-11,2015-04-01,3.834355828220848
31,2017-04-11-2017-05-16 報酬率:-2.53% 本金:1603958.6809999996,,2015-02-26,1.0439191951000593,0.0,2542,82.0,66.0,74.2,66.0,74.2,2015-03-11,2015-04-01,12.424242424242426
32,2017-05-16-2017-06-11 報酬率:2.04% 本金:1631396.6809999996,,2015-03-02,1.040820612297495,-0.29682209285051275,3105,81.0,41.0,40.8,38.2,43.5,2015-03-11,2015-04-01,-0.487804878048792
33,2017-06-11-2017-07-11 報酬率:-1.83% 本金:1603668.7039999997,,2015-03-03,1.053630163152454,0.0,2455,81.0,38.7,38.1,36.9,40.7,2015-03-11,2015-04-01,-1.5503875968992276
34,2017-07-11-2017-08-15 報酬率:2.92% 本金:1642682.2399999995,,2015-03-04,1.0533936033969693,-0.022451877685147892,2908,79.0,20.35,20.8,20.35,21.0,2015-03-11,2015-04-01,2.211302211302213
35,2017-08-15-2017-09-11 報酬率:13.37% 本金:1840665.1999999995,,2015-03-05,1.0715738147304004,0.0,2428,78.0,47.45,45.8,45.5,48.4,2015-03-11,2015-04-01,-3.4773445732349972
36,2017-09-11-2017-10-11 報酬率:2.24% 本金:1878153.8399999994,,2015-03-06,1.0750890653325245,0.0,3264,78.0,27.9,30.35,27.8,30.7,2015-03-11,2015-04-01,8.781362007168457
37,2017-10-11-2017-11-15 報酬率:-1.22% 本金:1857189.3599999994,,2015-03-09,1.0766975556157155,0.0,4935,77.0,46.8,45.7,45.05,48.15,2015-03-11,2015-04-01,-2.350427350427342
38,2017-11-15-2017-12-11 報酬率:2.75% 本金:1899646.6099999996,,2015-03-10,1.0865361329602625,0.0,2409,77.0,15.15,15.75,15.15,16.35,2015-03-11,2015-04-01,3.960396039603964
39,2017-12-11-2018-01-11 報酬率:6.12% 本金:2001220.2499999995,,2015-03-11,1.0898701064938285,0.0,2449,77.0,29.3,27.95,27.85,29.85,2015-03-11,2015-04-01,-4.607508532423211
40,2018-01-11-2018-02-11 報酬率:-8.17% 本金:1853339.1649999996,,2015-03-12,1.0920684397147327,0.0,00632R,100.0,18.61,18.39,18.35,18.61,2015-04-01,2015-04-10,-1.182160128962917
41,2018-02-11-2018-03-11 報酬率:9.17% 本金:2001773.9549999994,,2015-03-13,1.1008483313024342,0.0,3005,87.0,19.4,19.55,18.3,19.7,2015-04-13,2015-05-15,0.7731958762886793
42,2018-03-11-2018-04-01 報酬率:3.33% 本金:2061670.6649999996,,2015-03-16,1.1104349680694479,0.0,3607,85.0,78.2,71.2,71.2,79.3,2015-04-13,2015-05-15,-8.951406649616366
43,2018-04-01-2018-04-11 報酬率:0.94% 本金:2079873.5769999998,,2015-03-17,1.1060977248581205,-0.3905895739998111,8131,83.0,24.55,24.25,22.9,25.3,2015-04-13,2015-05-15,-1.2219959266802527
44,2018-04-11-2018-05-16 報酬率:1.23% 本金:2104020.3219999997,,2015-03-18,1.1094545219238814,-0.08829388246580638,2303,83.0,15.25,13.75,13.75,15.25,2015-04-13,2015-05-15,-9.836065573770492
45,2018-05-16-2018-06-11 報酬率:13.46% 本金:2360621.7619999996,,2015-03-19,1.1219703944036783,0.0,3376,83.0,82.4,92.6,80.0,92.9,2015-04-13,2015-05-15,12.378640776699012
46,2018-06-11-2018-07-11 報酬率:-6.73% 本金:2215994.062,,2015-03-20,1.1299730760065942,0.0,2637,82.0,40.2,40.7,39.7,41.45,2015-04-13,2015-05-15,1.243781094527363
47,2018-07-11-2018-08-15 報酬率:-3.03% 本金:2159346.6969999997,,2015-03-23,1.1251676431565927,-0.4252696769540987,1904,81.0,13.15,13.1,12.85,13.3,2015-04-13,2015-05-15,-0.38022813688213253
48,2018-08-15-2018-09-11 報酬率:-0.47% 本金:2149690.312,,2015-03-24,1.1213377033912242,-0.7642104753405321,5009,81.0,22.25,22.95,21.75,23.5,2015-04-13,2015-05-15,3.146067415730336
49,2018-09-11-2018-10-11 報酬率:-8.01% 本金:1992229.7319999998,,2015-03-25,1.1076104720651085,-1.9790386528957593,2383,81.0,52.6,54.5,49.2,56.3,2015-04-13,2015-05-15,3.6121673003802313
50,2018-10-11-2018-11-15 報酬率:-1.93% 本金:1953809.6079999998,,2015-03-26,1.111234473256764,-1.6583229412911127,2344,81.0,10.1,9.3,9.3,10.8,2015-04-13,2015-05-15,-7.920792079207906
51,2018-11-15-2018-12-11 報酬率:4.13% 本金:2023806.9129999995,,2015-03-27,1.1033360154436043,-2.3573181634669815,3376,87.0,95.3,103.0,95.3,106.0,2015-05-18,2015-06-11,8.079748163693612
52,2018-12-11-2019-01-11 報酬率:-1.45% 本金:1997935.2879999995,,2015-03-30,1.1078223782443053,-1.9602854468507402,4919,86.0,28.95,26.15,25.25,29.0,2015-05-18,2015-06-11,-9.67184801381693
53,2019-01-11-2019-02-11 報酬率:-2.66% 本金:1945067.7879999995,,2015-03-31,1.1224404855166579,-0.6666168114869642,3023,86.0,53.2,62.0,53.2,63.2,2015-05-18,2015-06-11,16.541353383458635
54,2019-02-11-2019-03-11 報酬率:4.97% 本金:2032572.0929999996,,2015-04-01,1.110292294806864,-1.7417035518477508,2455,86.0,39.5,44.3,39.2,44.3,2015-05-18,2015-06-11,12.151898734177212
