,Change Record,Extra Change,Date,Net Worth,mdd,stock_id,mfs_score,buy_price,sell_price,lowest_price,highest_price,buy_date,sell_date,profit(%),MAE,BMFE,GMFE
0,2023-01-01-2023-01-11 報酬率:0.32% 本金:1002473.6000000001,每次換手最大報酬 : 16.95%,2023-01-03,1.0,0.0,4417,88.0,38.8,37.35,37.35,39.3,2023-01-03,2023-01-11,-3.7371134020618424,3.737113402061845,0.0,0.0
1,2023-01-11-2023-02-11 報酬率:1.71% 本金:1015580.75,每次換手最小報酬 : -3.07%,2023-01-04,1.00712767725061,0.0,1234,88.0,32.65,32.65,32.6,32.75,2023-01-03,2023-01-11,0.0,0.15313935681469268,0.3062787136294071,0.3062787136294071
2,2023-02-11-2023-03-11 報酬率:0.62% 本金:1020706.6,,2023-01-05,1.0027155146443185,-0.43809367034141067,3492,87.0,18.3,18.35,18.2,18.5,2023-01-03,2023-01-11,0.2732240437158584,0.5464480874317017,0.0,0.0
3,2023-03-11-2023-04-01 報酬率:3.15% 本金:1048212.4,,2023-01-06,1.0040780441456036,-0.3028050140903238,3022,86.0,72.1,70.0,70.0,73.8,2023-01-03,2023-01-11,-2.9126213592232886,2.9126213592232935,2.357836338418867,2.357836338418867
4,2023-04-01-2023-04-11 報酬率:2.37% 本金:1068391.7650000001,,2023-01-09,1.0065498924734868,-0.05736956596212872,1315,86.0,70.0,71.5,70.0,71.5,2023-01-03,2023-01-11,2.1428571428571352,0.0,1.2857142857142938,1.2857142857142938
5,2023-04-11-2023-05-16 報酬率:-3.07% 本金:1041371.1600000001,,2023-01-10,1.008796497388475,0.0,1339,85.0,41.45,41.2,40.95,41.85,2023-01-03,2023-01-11,-0.6031363088057851,1.2062726176115801,0.8443908323280924,0.8443908323280924
6,2023-05-16-2023-06-11 報酬率:16.95% 本金:1161733.11,,2023-01-11,1.0031762637655568,-0.5571226344924574,8049,84.0,29.95,32.0,29.95,32.0,2023-01-03,2023-01-11,6.844741235392315,0.0,1.1686143572621082,1.1686143572621082
7,2023-06-11-2023-07-11 報酬率:-1.3% 本金:1149495.56,,2023-01-12,0.9929392833398242,-1.571894241276739,1777,84.0,82.6,81.1,81.1,83.5,2023-01-03,2023-01-11,-1.8159806295399483,1.8159806295399519,1.0895883777239779,1.0895883777239779
8,2023-07-11-2023-08-15 報酬率:-0.62% 本金:1144283.84,,2023-01-13,0.9924120144780377,-1.6241613598830584,4552,84.0,30.0,30.8,29.8,31.0,2023-01-03,2023-01-11,2.6666666666666616,0.6666666666666643,0.16666666666666904,0.16666666666666904
9,2023-08-15-2023-09-11 報酬率:-0.67% 本金:1137539.955,,2023-01-16,0.9958584505195728,-1.2825229768735014,3093,86.0,28.75,29.25,27.6,30.5,2023-01-11,2023-02-10,1.7391304347825987,3.999999999999995,0.0,0.0
